feature,importance
IAT,0.21837877399016334
Header_Length,0.0501501798237911
Protocol Type,0.04613348555997333
Tot size,0.042689029327220546
rst_count,0.04201189151007706
flow_duration,0.04126652275719306
Magnitue,0.03708513187614873
AVG,0.03545540770597716
syn_count,0.03448605687046411
Max,0.033864526422604055
urg_count,0.03307035134229102
Rate,0.03053538157454907
Min,0.02943328255710188
Srate,0.029240950877180046
Tot sum,0.02785558659421602
Duration,0.021870844349598073
Std,0.021462783900955164
Covariance,0.020795533974632352
ack_count,0.020514355195448482
ICMP,0.01909486559014522
Radius,0.018686616897407665
Variance,0.01818868745473196
syn_flag_number,0.016338546361511438
fin_count,0.015516671810294615
Number,0.013495163070324499
Weight,0.013482649420397516
fin_flag_number,0.012745231947168983
psh_flag_number,0.010912993276604643
HTTP,0.009716768354672415
UDP,0.00903940417318996
TCP,0.008109803139299113
ack_flag_number,0.006322749712347823
HTTPS,0.004441875149343074
rst_flag_number,0.003241530816285655
SSH,0.00296321919189864
LLC,0.0004918139251082505
IPv,0.0004435007267084735
ARP,0.00033233666214897267
DNS,0.0001353134433982154
Drate,1.826674284021345e-07
